Date,ACN,AMZN,COST,DIS,F,GILD,JPM,KO,LUV,MA,MSFT,PFE,TSLA,UNH,XOM
2017-03-09,107.29904174804688,42.650001525878906,141.46798706054688,104.58113098144531,7.850635051727295,49.518165588378906,72.3268814086914,31.914026260375977,50.87279510498047,105.38774871826172,58.69623565673828,22.005409240722656,16.32666778564453,147.1512908935547,55.0624885559082
2017-03-10,107.95233917236328,42.62300109863281,141.12661743164062,104.47752380371094,7.869476318359375,49.37336730957031,72.09782409667969,32.111454010009766,50.43953323364258,105.78728485107422,58.877586364746094,22.044187545776367,16.246000289916992,148.8767547607422,55.02204132080078
2017-03-13,108.04814147949219,42.72949981689453,140.42681884765625,105.04267120361328,7.875759124755859,49.308189392089844,72.16104125976562,32.19571304321289,49.18486022949219,106.0916748046875,58.67808532714844,22.044187545776367,16.411333084106445,149.0781707763672,54.893943786621094
2017-03-14,107.93490600585938,42.62649917602539,141.0156707763672,105.78679656982422,7.882035732269287,49.446815490722656,72.27951049804688,32.14974594116211,47.73161697387695,105.1024169921875,58.40605545043945,22.11527442932129,17.200000762939453,148.0709228515625,54.60404968261719
2017-03-15,108.71017456054688,42.64849853515625,142.1251220703125,105.3723373413086,7.944844722747803,49.95757293701172,72.45329284667969,32.26465606689453,49.00433349609375,106.55778503417969,58.71437072753906,22.380247116088867,17.048667907714844,150.45318603515625,55.28501510620117
2017-03-16,108.10039520263672,42.67100143432617,142.56886291503906,105.22163391113281,7.9762444496154785,50.008636474609375,72.38219451904297,32.3642463684082,48.87796401977539,107.17607879638672,58.614627838134766,22.250991821289062,17.469999313354492,150.03282165527344,55.332176208496094
2017-03-17,109.07601928710938,42.615501403808594,143.20896911621094,105.26873779296875,7.838073253631592,50.38803482055664,71.62391662597656,32.19571304321289,48.00239944458008,107.32830810546875,58.823184967041016,22.17990493774414,17.433332443237305,148.63148498535156,55.28501510620117
2017-03-20,108.35302734375,42.8484992980957,142.89312744140625,106.16355895996094,7.712464809417725,50.13268280029297,71.11053466796875,32.31061935424805,48.24612045288086,106.92878723144531,58.877586364746094,22.218677520751953,17.461332321166992,147.14256286621094,55.28501510620117
2017-03-21,108.5707778930664,42.15999984741211,142.32992553710938,105.25930786132812,7.36075496673584,49.424930572509766,69.02531433105469,32.55573272705078,46.8289680480957,105.3116683959961,58.224700927734375,22.13467025756836,16.711999893188477,146.87974548339844,55.170387268066406
2017-03-22,110.17355346679688,42.40299987792969,143.09796142578125,105.57014465332031,7.392160415649414,49.4906005859375,69.13590240478516,32.46382522583008,47.352508544921875,106.01557159423828,58.9682731628418,22.276840209960938,17.000667572021484,146.29296875,55.12319564819336
2017-03-23,105.19103240966797,42.36899948120117,142.43228149414062,105.72085571289062,7.329354286193848,49.242530822753906,69.02531433105469,32.30295944213867,47.27125549316406,106.15826416015625,58.823184967041016,22.160520553588867,16.985332489013672,144.76901245117188,55.19060134887695
2017-03-24,103.64049530029297,42.28049850463867,141.68136596679688,105.62665557861328,7.297949314117432,49.25711441040039,68.94632720947266,32.26465606689453,47.48789596557617,106.5197525024414,58.92293167114258,21.973100662231445,17.54400062561035,144.5150604248047,54.76586151123047
2017-03-27,103.99764251708984,42.340999603271484,141.79226684570312,105.85272216796875,7.19746208190918,49.249820709228516,68.90682983398438,32.41786193847656,47.73161697387695,106.48170471191406,59.031742095947266,22.089426040649414,18.014667510986328,144.1646728515625,54.77933120727539
2017-03-28,105.70496368408203,42.79999923706055,142.32142639160156,106.48381042480469,7.3167901039123535,48.957969665527344,69.98102569580078,32.50211715698242,48.91407012939453,106.98587036132812,59.20401382446289,22.076499938964844,18.496667861938477,144.8215789794922,55.17711639404297
2017-03-29,105.38267517089844,43.715999603271484,142.88458251953125,105.9940185546875,7.335635185241699,49.0747184753418,69.72039031982422,32.494449615478516,48.27320861816406,106.5958480834961,59.36723709106445,22.186370849609375,18.492000579833984,143.1487274169922,55.29846954345703
2017-03-30,104.98196411132812,43.81700134277344,143.27716064453125,106.60625457763672,7.335635185241699,49.27170944213867,70.32068634033203,32.632347106933594,48.5891227722168,107.17607879638672,59.58488082885742,22.19929313659668,18.527999877929688,144.50624084472656,56.431156158447266
2017-03-31,104.42447662353516,44.32699966430664,143.1064910888672,106.80406951904297,7.310513496398926,49.55625534057617,69.38074493408203,32.5097770690918,48.52592849731445,106.98587036132812,59.72088623046875,22.108814239501953,18.553333282470703,143.64791870117188,55.29174041748047
2017-04-03,102.47328186035156,44.57550048828125,142.26165771484375,106.62509155273438,7.184901237487793,48.957969665527344,69.12799835205078,32.4868049621582,48.74257278442383,106.76707458496094,59.43979263305664,22.128204345703125,19.90133285522461,145.03173828125,55.332176208496094
